comment_text,user,time_raw,location_raw,likes
"This is a sample comment about studying abroad.",user_01,2026-02-07,Shanghai,12
"I felt more independent after moving to a new city.",user_02,2026-02-07,Beijing,8
"The hardest part was adapting to a new academic culture.",user_03,2026-02-07,Shenzhen,5
"I made lifelong friends during my exchange program.",user_04,2026-02-07,Guangzhou,20
"The cost of living was higher than I expected.",user_05,2026-02-07,Hangzhou,3
"If you have scholarships, it’s manageable. Anyone else feel the same?",user_100,2026-02-07,Xi'an,15
"I grew faster than I expected. Maybe I was lucky.",user_101,2026-02-08,Guangzhou,43
"I got homesick all the time. Just my two cents.",user_102,2026-02-09,Kunming,2
"Not sure I agree, my experience was different. Just my two cents.",user_103,2026-02-10,Wuhan,14
"I realized I actually like routine. It helped me grow up fast.",user_104,2026-02-11,Shanghai,35
"I learned to be more resilient. I still keep in touch with my classmates.",user_105,2026-02-07,Kunming,14
"I don’t think it’s for everyone. It helped me grow up fast.",user_106,2026-02-08,Xi'an,0
"Honestly it was overrated for me. It’s complicated, not all good or bad.",user_107,2026-02-09,Xiamen,17
"The food was the biggest culture shock. Curious what others think.",user_108,2026-02-10,Xiamen,6
"I found the community very supportive. It’s complicated, not all good or bad.",user_109,2026-02-11,Guangzhou,22
"I miss the convenience back home. It helped me grow up fast.",user_110,2026-02-07,Xi'an,2
"The admin processes were exhausting. In hindsight I would choose differently.",user_111,2026-02-08,Guangzhou,24
"I found the community very supportive. In hindsight I would choose differently.",user_112,2026-02-09,Suzhou,40
"It changed how I see my future. I had the opposite experience.",user_113,2026-02-10,Wuhan,45
"Language barriers were tough at first. Anyone else feel the same?",user_114,2026-02-11,Nanjing,18
"I found the community very supportive. Curious what others think.",user_115,2026-02-07,Guangzhou,24
"Different majors have very different experiences. For me it was life-changing.",user_116,2026-02-08,Qingdao,10
"The best part was meeting people from everywhere. I had the opposite experience.",user_117,2026-02-09,Wuhan,42
"Different majors have very different experiences. I still keep in touch with my classmates.",user_118,2026-02-10,Shenzhen,38
"Honestly it was overrated for me. In hindsight I would choose differently.",user_119,2026-02-11,Nanjing,10
"The admin processes were exhausting. It’s complicated, not all good or bad.",user_120,2026-02-07,Xi'an,40
"I stopped comparing myself to others. Curious what others think.",user_121,2026-02-08,Xiamen,3
"I grew faster than I expected. Anyone else feel the same?",user_122,2026-02-09,Xiamen,25
"Different majors have very different experiences. Just my two cents.",user_123,2026-02-10,Wuhan,36
"I had to work part-time to afford it. Curious what others think.",user_124,2026-02-11,Tianjin,25
